manifest_id,deployment_id,symbol,raw_direction,status,qualifying_time_utc,lineage_finalized_at_utc,qualifying_stage,max_effective_ticks,source_clean_block_id,observed_event_count,next_required_stage,tradeplan_replay_status
5scr-radar:8b94916c41738fb2704c7a7d4ca04bef,2247e628-372c-4a27-95af-fe4b32724b11,CADCHF,BUY,EXPIRED,2026-07-16T23:24:08.967776+00:00,,CANDIDATE_LIFECYCLE,3,,4,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:a6902377808dc9b22d387fbe8aadc206,2247e628-372c-4a27-95af-fe4b32724b11,CHFJPY,BUY,EXPIRED,2026-07-16T23:24:50.263608+00:00,,CANDIDATE_LIFECYCLE,3,,19,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:40de238ef63df9fba9589c5f39d7176d,2247e628-372c-4a27-95af-fe4b32724b11,XAUUSD,SELL,EXPIRED,2026-07-16T23:32:31.762014+00:00,,CANDIDATE_LIFECYCLE,3,,14,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:82ddab727a045bcc5addb270870f20dc,2247e628-372c-4a27-95af-fe4b32724b11,CADCHF,BUY,EXPIRED,2026-07-17T00:04:52.541362+00:00,,CANDIDATE_LIFECYCLE,3,,12,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:c416a872b4e85f095809af673afe682b,2247e628-372c-4a27-95af-fe4b32724b11,CHFJPY,BUY,EXPIRED,2026-07-17T01:00:52.581155+00:00,,CANDIDATE_LIFECYCLE,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:493ec594a2d39ed643c016643ba81183,2247e628-372c-4a27-95af-fe4b32724b11,CADCHF,BUY,EXPIRED,2026-07-17T01:00:57.281195+00:00,2026-07-17T02:56:39.821435+00:00,CANDIDATE_LIFECYCLE,3,CADCHF_20260717T005639Z_20260717T010139Z,2,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:bc5608a13682c0db9d21c543f8cc20ec,2247e628-372c-4a27-95af-fe4b32724b11,USDCHF,SELL,EXPIRED,2026-07-17T09:00:22.699701+00:00,2026-07-17T09:05:28.962499+00:00,CANDIDATE_LIFECYCLE,3,USDCHF_20260717T090017Z_20260717T090517Z,2,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:504c8acafe1d90ff8cae766eb3cf0495,2247e628-372c-4a27-95af-fe4b32724b11,CHFJPY,BUY,ANALYSIS_READY,2026-07-17T13:00:52.074389+00:00,2026-07-17T13:06:01.029315+00:00,CANDIDATE_LIFECYCLE,3,CHFJPY_20260717T130046Z_20260717T130546Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:669b528347965b234d71a8a515a5af26,43ce34d6-5b5d-40ec-93a1-b03f0118052d,GBPUSD,BUY,WAITING_CANONICAL_LINEAGE,2026-07-20T06:02:36.911367+00:00,,CANDIDATE_LIFECYCLE,3,,1,CANONICAL_LINEAGE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:05b9f0922e03610dab028c49eadffc85,4b3da522-6093-4741-a8a3-5a510e57330f,AUDJPY,BUY,EXPIRED,2026-07-20T15:22:08.967114+00:00,,CANDIDATE_LIFECYCLE,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:cb33b91b4a887eb3c647e85ab27fa849,4b3da522-6093-4741-a8a3-5a510e57330f,AUDCAD,BUY,EXPIRED,2026-07-20T15:22:09.985287+00:00,,CANDIDATE_LIFECYCLE,3,,2,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:ce23d429ae95bef19eb3324411410450,4b3da522-6093-4741-a8a3-5a510e57330f,NZDCAD,BUY,EXPIRED,2026-07-20T15:22:14.939692+00:00,,CANDIDATE_LIFECYCLE,3,,2,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:c2b72ade1cca40e6e7efbedaba3d87bc,4b3da522-6093-4741-a8a3-5a510e57330f,XAUUSD,BUY,EXPIRED,2026-07-20T15:22:18.656058+00:00,,CANDIDATE_LIFECYCLE,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:08b605e5770fe98c75a1f584c46471cb,4b3da522-6093-4741-a8a3-5a510e57330f,XAGUSD,BUY,EXPIRED,2026-07-20T15:22:19.121334+00:00,,CANDIDATE_LIFECYCLE,3,,2,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:6b8670394133e2d5dd50abb7ab97c032,4b3da522-6093-4741-a8a3-5a510e57330f,AUDUSD,BUY,EXPIRED,2026-07-20T15:23:25.492864+00:00,,PRESSURE_BLOCK,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:c7997ec5a4e69b961c358c7e94b48363,4b3da522-6093-4741-a8a3-5a510e57330f,EURGBP,SELL,EXPIRED,2026-07-20T15:23:27.895886+00:00,,PRESSURE_BLOCK,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:ba875291a983430b9db087edbad37e1a,4b3da522-6093-4741-a8a3-5a510e57330f,EURCHF,BUY,EXPIRED,2026-07-20T15:23:30.394866+00:00,,PRESSURE_BLOCK,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:63fde149b74ad1855f80d864ca316e31,4b3da522-6093-4741-a8a3-5a510e57330f,EURAUD,SELL,EXPIRED,2026-07-20T15:23:30.928370+00:00,,PRESSURE_BLOCK,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:177fe8a003ad19ad719625a0c8638960,4b3da522-6093-4741-a8a3-5a510e57330f,EURNZD,SELL,EXPIRED,2026-07-20T15:23:33.489812+00:00,,PRESSURE_BLOCK,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:ca32531ae045c0c784001a5a7601e6c1,4b3da522-6093-4741-a8a3-5a510e57330f,GBPCHF,BUY,EXPIRED,2026-07-20T15:23:34.341700+00:00,,PRESSURE_BLOCK,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:72318d106889abdecaca872d43b2eb40,4b3da522-6093-4741-a8a3-5a510e57330f,GBPAUD,SELL,EXPIRED,2026-07-20T15:23:36.925145+00:00,,PRESSURE_BLOCK,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:c498e5e197d5bb912d9f987ae8c9e0d5,4b3da522-6093-4741-a8a3-5a510e57330f,GBPNZD,SELL,EXPIRED,2026-07-20T15:23:37.895756+00:00,,PRESSURE_BLOCK,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:84d5ee4f3c1b56d79af2f351fb5c835d,4b3da522-6093-4741-a8a3-5a510e57330f,AUDJPY,BUY,EXPIRED,2026-07-20T15:23:39.478256+00:00,,CANDIDATE_LIFECYCLE,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:6722f47df618f500147e8c97309193c4,4b3da522-6093-4741-a8a3-5a510e57330f,AUDCHF,BUY,EXPIRED,2026-07-20T15:23:42.386383+00:00,,CANDIDATE_LIFECYCLE,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:dd25b93ba271c0382ea79fda7d4e998e,4b3da522-6093-4741-a8a3-5a510e57330f,NZDCHF,BUY,EXPIRED,2026-07-20T15:23:42.879952+00:00,,CANDIDATE_LIFECYCLE,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:4c3cb1e90983862e7ab1fb139152cf49,4b3da522-6093-4741-a8a3-5a510e57330f,XAUUSD,BUY,EXPIRED,2026-07-20T15:23:48.989102+00:00,,CANDIDATE_LIFECYCLE,3,,1,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:30995bca78a06c5f3a1d81be7fc479c0,4b3da522-6093-4741-a8a3-5a510e57330f,USDCAD,SELL,EXPIRED,2026-07-22T06:20:24.268876+00:00,,CANDIDATE_LIFECYCLE,3,,2,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:0b5da9553162f90c97eafb6fa0945bbf,4b3da522-6093-4741-a8a3-5a510e57330f,EURUSD,BUY,EXPIRED,2026-07-22T06:20:32.491527+00:00,,CANDIDATE_LIFECYCLE,3,,2,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:4e61851b608d39c9d1f8f2ac467c8987,4b3da522-6093-4741-a8a3-5a510e57330f,XAUUSD,BUY,EXPIRED,2026-07-22T21:06:34.459736+00:00,2026-07-22T21:11:46.515522+00:00,CANDIDATE_LIFECYCLE,3,XAUUSD_20260722T210625Z_20260722T211125Z,2,NONE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:b9e2c1bfe056b2c3501725c10a6dafc2,4b3da522-6093-4741-a8a3-5a510e57330f,GBPNZD,BUY,ANALYSIS_READY,2026-07-23T11:00:20.429670+00:00,2026-07-23T11:05:38.096954+00:00,CANDIDATE_LIFECYCLE,3,GBPNZD_20260723T110009Z_20260723T110509Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:f08a376ad03eb6e818db8a7e6dfaa67b,65a456bf-2a57-49f9-af86-aadb92a7d430,GBPNZD,SELL,WAITING_CANONICAL_LINEAGE,2026-07-17T20:26:45.029693+00:00,,CANDIDATE_LIFECYCLE,3,,1,CANONICAL_LINEAGE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:398fb48af44edc94115f839030a727db,65a456bf-2a57-49f9-af86-aadb92a7d430,AUDNZD,SELL,WAITING_CANONICAL_LINEAGE,2026-07-17T20:26:47.417907+00:00,,CANDIDATE_LIFECYCLE,3,,1,CANONICAL_LINEAGE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:7a82174d0f01dbb5b29bdfed86b90cdb,65a456bf-2a57-49f9-af86-aadb92a7d430,AUDCAD,SELL,WAITING_CANONICAL_LINEAGE,2026-07-17T20:26:47.886169+00:00,,CANDIDATE_LIFECYCLE,3,,1,CANONICAL_LINEAGE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:009a32e0a383f7d475b621018cf29890,65a456bf-2a57-49f9-af86-aadb92a7d430,CADJPY,BUY,WAITING_CANONICAL_LINEAGE,2026-07-17T20:26:53.395325+00:00,,CANDIDATE_LIFECYCLE,3,,1,CANONICAL_LINEAGE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:649d0bb70261766aa8397d0d214a6039,65a456bf-2a57-49f9-af86-aadb92a7d430,EURGBP,BUY,WAITING_CANONICAL_LINEAGE,2026-07-17T20:27:24.056576+00:00,,CANDIDATE_LIFECYCLE,3,,1,CANONICAL_LINEAGE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:b7402065075b58b779e8164ee7a9f40c,65a456bf-2a57-49f9-af86-aadb92a7d430,EURGBP,BUY,WAITING_CANONICAL_LINEAGE,2026-07-17T20:28:05.942073+00:00,,ALLOWED_QUORUM,3,,1,CANONICAL_LINEAGE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:3f376573cfcc83c6a77612c9a20f91aa,916abb83-e85e-4ff8-a110-beedcac619b8,AUDUSD,BUY,ANALYSIS_READY,2026-07-20T06:51:23.937946+00:00,2026-07-20T06:57:43.910325+00:00,PRESSURE_BLOCK,3,AUDUSD_20260720T065123Z_20260720T065623Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:a78c5e383e36e6b649ae2d44537d654a,916abb83-e85e-4ff8-a110-beedcac619b8,EURGBP,SELL,ANALYSIS_READY,2026-07-20T06:51:26.236846+00:00,2026-07-20T06:57:45.253223+00:00,PRESSURE_BLOCK,3,EURGBP_20260720T065125Z_20260720T065625Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:e7306bf3d8e19a8a36d542dd96a91fb4,916abb83-e85e-4ff8-a110-beedcac619b8,NZDUSD,BUY,ANALYSIS_READY,2026-07-20T06:51:26.930659+00:00,2026-07-20T06:56:24.098206+00:00,PRESSURE_BLOCK,3,NZDUSD_20260720T065044Z_20260720T065544Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:e739a2ecbc4526b4361260f8256f8e0c,916abb83-e85e-4ff8-a110-beedcac619b8,EURAUD,SELL,ANALYSIS_READY,2026-07-20T06:51:30.561597+00:00,2026-07-20T06:57:32.626785+00:00,CANDIDATE_LIFECYCLE,3,EURAUD_20260720T065129Z_20260720T065629Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:978a56f7cfd38736cdf3e82fddfcdf52,916abb83-e85e-4ff8-a110-beedcac619b8,GBPJPY,BUY,ANALYSIS_READY,2026-07-20T06:51:33.608484+00:00,2026-07-20T06:57:34.274720+00:00,CANDIDATE_LIFECYCLE,3,GBPJPY_20260720T065132Z_20260720T065632Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:af8637f424c863c3c087dafbc4416684,916abb83-e85e-4ff8-a110-beedcac619b8,GBPNZD,SELL,ANALYSIS_READY,2026-07-20T06:51:37.344223+00:00,2026-07-20T06:57:49.537941+00:00,CANDIDATE_LIFECYCLE,3,GBPNZD_20260720T065135Z_20260720T065635Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:d588d6248f0312ac5ee35360bc932dcb,916abb83-e85e-4ff8-a110-beedcac619b8,AUDJPY,BUY,ANALYSIS_READY,2026-07-20T06:51:39.586981+00:00,2026-07-20T06:57:36.390959+00:00,CANDIDATE_LIFECYCLE,3,AUDJPY_20260720T065137Z_20260720T065637Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:46b268340e6a1fce41479ab5fe271c16,916abb83-e85e-4ff8-a110-beedcac619b8,AUDCHF,BUY,ANALYSIS_READY,2026-07-20T06:51:42.343230+00:00,2026-07-20T06:57:37.776696+00:00,CANDIDATE_LIFECYCLE,3,AUDCHF_20260720T065140Z_20260720T065640Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:59bfb63de02aa2f56ce50d605128e9f9,916abb83-e85e-4ff8-a110-beedcac619b8,NZDJPY,BUY,ANALYSIS_READY,2026-07-20T06:51:42.781436+00:00,2026-07-20T06:57:38.572186+00:00,CANDIDATE_LIFECYCLE,3,NZDJPY_20260720T065141Z_20260720T065641Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:3ae3cd0a7d6bb04ee01d04cac511a462,916abb83-e85e-4ff8-a110-beedcac619b8,NZDCHF,BUY,ANALYSIS_READY,2026-07-20T06:51:43.297763+00:00,2026-07-20T06:59:56.468541+00:00,ALLOWED_QUORUM,3,NZDCHF_20260720T065141Z_20260720T065641Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:345bd648d3ee2ce0261ec939b844f99f,ad2094d4-4975-4de7-92f4-821aea188906,AUDCHF,BUY,ANALYSIS_READY,2026-07-23T21:21:35.283348+00:00,2026-07-23T21:26:19.290957+00:00,CANDIDATE_LIFECYCLE,3,AUDCHF_20260723T212056Z_20260723T212556Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:77f91b7f200a45c3cfba583cc3e04073,ad2094d4-4975-4de7-92f4-821aea188906,CADJPY,BUY,ANALYSIS_READY,2026-07-23T21:21:41.318958+00:00,2026-07-23T21:28:59.221295+00:00,CANDIDATE_LIFECYCLE,3,CADJPY_20260723T212057Z_20260723T212557Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:78706fbdb33f7f977ae5ce0768636f67,ad2094d4-4975-4de7-92f4-821aea188906,CADCHF,BUY,WAITING_CANONICAL_LINEAGE,2026-07-23T21:21:41.806753+00:00,,ALLOWED_QUORUM,3,,1,CANONICAL_LINEAGE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
5scr-radar:b21d37de4fa1523669093a28b50eb7f3,ad2094d4-4975-4de7-92f4-821aea188906,USDCHF,BUY,ANALYSIS_READY,2026-07-23T21:22:29.678512+00:00,2026-07-23T21:27:18.399830+00:00,ALLOWED_QUORUM,4,USDCHF_20260723T212054Z_20260723T212554Z,2,CLOSED_CANDLE_EVIDENCE,NOT_EVALUATED_CLOSED_CANDLES_REQUIRED
